R,Z,DeltaR,DeltaZ,ang1,ang2,circ,N,mult,R(mOhms),Name
0.1446252,-1.0392178,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_99
0.1574378,-1.0392178,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_100
0.1190000,-1.0212433,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_101
0.1318126,-1.0212433,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_102
0.1446252,-1.0212433,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_103
0.1574378,-1.0212433,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_104
0.1190000,-1.0032688,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_105
0.1318126,-1.0032688,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_106
0.1446252,-1.0032688,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_107
0.1574378,-1.0032688,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_108
0.1190000,-0.9852943,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_109
0.1318126,-0.9852943,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_110
0.1446252,-0.9852943,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_111
0.1574378,-0.9852943,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_112
0.1190000,-0.9673198,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_113
0.1318126,-0.9673198,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_114
0.1446252,-0.9673198,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_115
0.1574378,-0.9673198,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_116
0.1190000,-0.9493452,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_117
0.1318126,-0.9493452,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_118
0.1446252,-0.9493452,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_119
0.1574378,-0.9493452,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_120
0.1190000,-0.9313707,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_121
0.1318126,-0.9313707,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_122
0.1446252,-0.9313707,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_123
0.1574378,-0.9313707,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_124
0.1190000,-0.9133962,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_125
0.1318126,-0.9133962,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_126
0.1446252,-0.9133962,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_127
