shot_id,useful,campaign
51243,1,MU04-DIS-01
51242,1,MU04-DIS-01
51241,1,MU04-DIS-01
51237,1,MU04-DIS-01
51236,1,MU04-DIS-01
51235,1,MU04-DIS-01
51234,1,MU04-DIS-01
51230,1,MU04-SOL-01
51229,1,MU04-SOL-01
51228,1,MU04-SOL-01
51227,1,MU04-SOL-01
51226,1,MU04-SOL-01
51224,1,MU04-CTRL-01
51218,1,MU04-APP-06
51217,1,MU04-APP-06
51216,1,MU04-APP-06
51212,1,MU04-APP-06
51211,1,MU04-APP-06
51210,1,MU04-APP-06
51209,1,MU04-APP-06
51208,1,MU04-DIV-06
51207,1,MU04-DIV-06
51206,1,MU04-DIV-06
51205,1,MU04-DIV-06
51204,1,MU04-DIV-06
51203,1,MU04-DIV-06
51202,1,MU04-DIV-06
51201,1,MU04-DIV-06
51200,1,MU04-DIV-06
51198,1,MU04-CT-04
51197,1,MU04-CT-04
51196,1,MU04-CT-04
51195,1,MU04-CT-04
51187,1,MU04-SOL-01
51186,1,MU04-SOL-01
51180,1,MU04-SCEN-01
51179,1,MU04-SCEN-01
51178,1,MU04-SCEN-01
51177,1,MU04-SCEN-01
51176,1,MU04-SCEN-01
51175,1,MU04-SCEN-01
51174,1,MU04-SCEN-01
51173,1,MU04-SCEN-01
51172,1,MU04-MHD-03
51170,1,MU04-WPTE-08
51169,1,MU04-WPTE-08
51168,1,MU04-SCEN-01
51167,1,MU04-CTRL-01
51166,1,MU04-CTRL-01
51158,1,MU04-WPTE-08
51156,1,MU04-WPTE-08
51155,1,MU04-WPTE-08
51154,1,MU04-WPTE-08
51153,1,MU04-SCEN-01
51152,1,MU04-CTRL-01
51151,1,MU04-CTRL-01
51150,1,MU04-CTRL-01
51149,1,MU04-CTRL-01
51148,1,MU04-CTRL-01
51140,1,MU04-SCEN-01
51139,1,MU04-SCEN-01
51138,1,MU04-SCEN-01
51137,1,MU04-SCEN-01
51136,1,MU04-SCEN-01
51135,1,MU04-SCEN-01
51134,1,MU04-SCEN-01
51133,1,MU04-SCEN-01
51132,1,MU04-SCEN-01
51131,1,MU04-SCEN-01
51130,1,MU04-SCEN-03
51129,1,MU04-SCEN-01
51128,1,MU04-SCEN-03
51127,1,MU04-SCEN-01
51125,1,MU04-SCEN-01
51124,1,MU04-DIV-06
51122,1,MU04-SCEN-04
51121,1,MU04-CTRL-01
51120,1,MU04-CTRL-01
51119,1,MU04-SCEN-01
51118,1,MU04-SCEN-04
51117,1,MU04-SCEN-01
51115,1,MU04-SCEN-01
51114,1,MU04-CTRL-01
51113,1,MU04-SCEN-01
51112,1,MU04-CTRL-01
51111,1,MU04-CTRL-01
51110,1,MU04-CTRL-01
51109,1,MU04-SCEN-01
51056,1,MU04-SCEN-05
51054,1,MU04-SCEN-01
51053,1,MU04-SCEN-01
51052,1,MU04-SCEN-01
51051,1,MU04-SCEN-01
51050,1,MU04-SCEN-01
51049,1,MU04-SCEN-01
51048,1,MU04-SCEN-01
51046,1,MU04-SCEN-03
51045,1,MU04-SCEN-01
51044,1,MU04-SCEN-01
51043,1,MU04-SCEN-03
51042,1,MU04-SCEN-03
51041,1,MU04-SCEN-03
51040,1,MU04-SCEN-01
51039,1,MU04-SCEN-03
51037,1,MU04-WPTE-02
51036,1,MU04-WPTE-02
51035,1,MU04-SCEN-01
51034,1,MU04-SCEN-01
51033,1,MU04-SCEN-01
51032,1,MU04-SCEN-01
51031,1,MU04-SCEN-01
51030,1,MU04-SCEN-01
51028,1,MU04-SCEN-03
51027,1,MU04-SCEN-03
51026,1,MU04-WPTE-08
51023,1,MU04-APP-03
51022,1,MU04-APP-03
51021,1,MU04-APP-03
51019,1,MU04-APP-03
51018,1,MU04-APP-03
51015,1,MU04-MHD-01
51014,1,MU04-MHD-01
51013,1,MU04-MHD-01
51011,1,MU04-MHD-01
51010,1,MU04-MHD-01
51009,1,MU04-MHD-01
51008,1,MU04-MHD-01
51007,1,MU04-MHD-01
51006,1,MU04-MHD-01
51005,1,MU04-MHD-01
51004,1,MU04-WPTE-02
51003,1,MU04-WPTE-02
51001,1,MU04-WPTE-02
51000,1,MU04-WPTE-02
50999,1,MU04-WPTE-02
50998,1,MU04-WPTE-02
50997,1,MU04-WPTE-02
50995,1,MU04-SCEN-03
50994,1,MU04-SCEN-03
50993,1,MU04-APP-03
50992,1,MU04-APP-03
50991,1,MU04-APP-03
50989,1,MU04-APP-03
50988,1,MU04-APP-03
50987,1,MU04-APP-03
50986,1,MU04-APP-03
50982,1,MU04-SCEN-03
50981,1,MU04-SCEN-03
50978,1,MU04-WPTE-09
50977,1,MU04-WPTE-09
50976,1,MU04-WPTE-09
50974,1,MU04-WPTE-09
50973,1,MU04-WPTE-09
50972,1,MU04-WPTE-09
50971,1,MU04-WPTE-09
50970,1,MU04-WPTE-09
50969,1,MU04-APP-03
50968,1,MU04-APP-03
50967,1,MU04-APP-03
50966,1,MU04-APP-03
50956,1,MU04-WPTE-08
50955,1,MU04-WPTE-08
50954,1,MU04-WPTE-08
50953,1,MU04-WPTE-08
50952,1,MU04-WPTE-01
50949,1,MU04-WPTE-01
50948,1,MU04-SCEN-01
50947,1,MU04-WPTE-08
50946,1,MU04-SCEN-01
50943,1,MU04-WPTE-08
50942,1,MU04-WPTE-02
50941,1,MU04-WPTE-02
50939,1,MU04-WPTE-02
50937,1,MU04-EST-04
50936,1,MU04-EST-04
50935,1,MU04-EST-04
50934,1,MU04-EST-04
50933,1,MU04-EST-04
50932,1,MU04-EST-04
50931,1,MU04-WPTE-01
50930,1,MU04-WPTE-01
50929,1,MU04-WPTE-01
50926,1,MU04-WPTE-01
50924,1,MU04-SCEN-05
50923,1,MU04-SCEN-05
50921,1,MU04-SCEN-05
50920,1,MU04-SCEN-05
50919,1,MU04-SCEN-05
50918,1,MU04-SCEN-05
50917,1,MU04-SCEN-05
50915,1,MU04-SCEN-05
50911,1,MU04-CTRL-01
50910,1,MU04-SCEN-01
50909,1,MU04-SCEN-03
50908,1,MU04-SCEN-01
50907,1,MU04-SCEN-01
50906,1,MU04-SCEN-03
50905,1,MU04-SCEN-03
50903,1,MU04-WPTE-08
50900,1,MU04-SCEN-01
50899,1,MU04-SCEN-01
50897,1,MU04-SCEN-01
50896,1,MU04-SCEN-01
50894,1,MU04-SCEN-01
50893,1,MU04-SCEN-01
50892,1,MU04-WPTE-08
50891,1,MU04-SCEN-01
50890,1,MU04-SCEN-01
50889,1,MU04-SCEN-01
50885,1,MU04-WPTE-07
50883,1,MU04-SCEN-03
50882,1,MU04-WPTE-07
50881,1,MU04-WPTE-07
50880,1,MU04-WPTE-07
50879,1,MU04-WPTE-07
50878,1,MU04-WPTE-07
50877,1,MU04-SCEN-02
50876,1,MU04-WPTE-01
50872,1,MU04-WPTE-07
50871,1,MU04-CTRL-02
50870,1,MU04-WPTE-07
50869,1,MU04-SCEN-02
50867,1,MU04-SCEN-02
50866,1,MU04-SCEN-03
50863,1,MU04-CTRL-02
50862,1,MU04-CTRL-02
50860,1,MU04-CTRL-02
50859,1,MU04-CTRL-02
50858,1,MU04-CTRL-02
50857,1,MU04-WPTE-02
50856,1,MU04-WPTE-02
50855,1,MU04-WPTE-02
50854,1,MU04-WPTE-02
50853,1,MU04-WPTE-07
50852,1,MU04-WPTE-01
50851,1,MU04-WPTE-01
50850,1,MU04-WPTE-01
50846,1,MU04-WPTE-07
50844,1,MU04-MHD-01
50843,1,MU04-MHD-01
50841,1,MU04-MHD-01
50840,1,MU04-MHD-01
50838,1,MU04-MHD-01
50837,1,MU04-MHD-01
50836,1,MU04-MHD-01
50835,1,MU04-MHD-01
50834,1,MU04-MHD-01
50833,1,MU04-WPTE-07
50832,1,MU04-WPTE-07
50831,1,MU04-WPTE-07
50830,1,MU04-WPTE-07
50828,1,MU04-WPTE-07
50827,1,MU04-WPTE-07
50826,1,MU04-WPTE-07
50825,1,MU04-WPTE-07
50824,1,MU04-WPTE-07
50823,1,MU04-WPTE-07
50822,1,MU04-WPTE-07
50820,1,MU04-WPTE-01
50819,1,MU04-WPTE-01
50818,1,MU04-WPTE-01
50817,1,MU04-WPTE-01
50816,1,MU04-WPTE-01
50815,1,MU04-WPTE-01
50813,1,MU04-WPTE-01
50812,1,MU04-SCEN-03
50811,1,MU04-SCEN-03
50810,1,MU04-SCEN-03
